schema	1
workload_sha256	ef7890d4cd5e04360a1a952d3aefb7c0378f1c1f929ce0e2484c25eb727f66c5
admission	pass
load_one	2.81
logical_cpus	10
free_memory_percent	48
subject	remux std-only TUI (attested)
version	0.1.0@6d00755c18fb
availability	measured
workload_mode	W4 real-trace replay + ANSI TUI + hash chain
sessions_requested	20
sessions_observed	20
preexisting_sessions	0
events_per_session	14
baseline_rss_bytes	N/A
peak_rss_bytes	43614208
steady_rss_bytes	43597824
steady_rss_samples	43188224,43515904,43532288,43532288,43548672,43565056,43597824,43597824,43614208,43614208,43614208,43614208,43614208
distinct_pid_count	21
steady_pid_count	21
fleet_spawn_wall_us	132180
spawn_latency_p50_us	N/A
spawn_latency_p95_us	N/A
spawn_latency_p99_us	N/A
capability_gaps	Per-session spawn acknowledgements are not exposed (fleet launch→ready is measured); 380 attestation records are externally verified.
